shopno,utilization_ratio,portability_rate,rice_per_card,trans_volatility,latitude,longitude,distname,distcode,cluster,dbscan_cluster
2919018,0.8869514237211098,0.12542316533360418,22.955686341162725,17.09096209175114,18.402574,78.459963,Kamareddy,926,4,0
2919019,0.2750859565965822,0.7256278319715799,23.00718946398638,32.02081373599476,18.413304,78.421441,Kamareddy,926,2,0
2919020,0.6829878387089484,0.3198727972831906,20.34620554381747,8.168182896009373,18.430708,78.407131,Kamareddy,926,3,0
2919021,0.7078800474956364,0.2931018918381915,20.566830466052053,13.083475834099966,18.430483,78.407607,Kamareddy,926,3,0
2919022,0.6500468567794837,0.35152193799224757,22.506713137456043,40.88967494663389,18.41327,78.42143,Kamareddy,926,3,0
2919023,0.7217492018025219,0.2797601080185754,22.205161847415983,16.493169208550306,18.417526,78.421428,Kamareddy,926,4,0
2919024,0.9563502269542291,0.04773968835172407,25.962069489851487,7.049438366337293,18.417568,78.445681,Kamareddy,926,4,0
2919025,0.8990857763178316,0.10176794929844259,20.11438186151564,16.60568482396636,18.366215,78.413394,Kamareddy,926,0,0
2920002,0.9215196519005374,0.07979181131930804,19.73048371026299,5.259521040584835,18.424038,78.247973,Kamareddy,926,0,0
2920003,0.36397692316925334,0.6363321714493042,20.845156706249842,26.64707305621116,18.397234,78.241081,Kamareddy,926,2,0
2920004,0.8705804319447089,0.13107608049236386,21.928684268996243,8.815570640309438,18.373596,78.225831,Kamareddy,926,4,0
2920005,0.8265095419144172,0.17349045808558286,21.298332831515694,9.082679884903223,18.382959,78.181916,Kamareddy,926,4,0
2920006,0.2594411291412219,0.7410384971466273,21.498092164617265,7.95786316839494,18.407591,78.270452,Kamareddy,926,2,0
2920007,0.33693250289677334,0.6636559061923542,21.72514728248209,13.735807722631506,18.407638,78.270322,Kamareddy,926,2,0
2920008,0.3885022173332267,0.6116484823840667,21.05424304995552,35.71566007207815,18.4038,78.26888,Kamareddy,926,2,0
2920009,0.6621879219435292,0.3379765004271801,21.468426385088033,26.5459449279589,18.377853,78.310274,Kamareddy,926,3,0
2920010,0.4728550771136883,0.5274283326728729,20.843632372652095,38.6139156620851,18.370724,78.309879,Kamareddy,926,3,0
2920011,0.3572481353852268,0.644726261107743,20.659820969063464,31.433290062256148,18.371317,78.30999,Kamareddy,926,2,0
2920012,0.9644807200454475,0.04819718346193024,21.838042302828466,16.251184117524332,18.406399,78.197753,Kamareddy,926,4,0
2920013,0.9651637729183444,0.03565576298959648,21.026931263024757,12.929421902734719,18.425049,78.203188,Kamareddy,926,4,0
2920014,0.8877218318126372,0.1140059726341738,21.17536502647446,4.70090652613809,18.454454,78.220409,Kamareddy,926,4,0
2920015,0.5483836917489103,0.4583024281811642,18.747450785225283,24.732111513202387,18.40677,78.297323,Kamareddy,926,3,0
2920016,0.514991550335221,0.48816917677140453,19.33610148784746,28.203867253956805,18.406723,78.297325,Kamareddy,926,3,0
2920017,0.9581813973661774,0.04200205012325048,21.212566188244583,5.581240570466272,18.423998,78.300423,Kamareddy,926,4,0
2920018,0.9472367273027733,0.053626836210194054,19.16220803293464,7.678259244427118,18.420444,78.235499,Kamareddy,926,0,0
2920019,0.7653603669469355,0.23611216056521606,20.499392391395542,6.059637928346888,18.366674,78.284202,Kamareddy,926,0,0
2920020,0.820801828517613,0.1912196145185966,19.971061486356145,17.70287054733676,18.366593,78.282056,Kamareddy,926,0,0
2920021,0.9199376987114195,0.08064247615601625,20.825620888728807,5.735980982579373,18.437884,78.240735,Kamareddy,926,0,0
2920022,0.945658530250295,0.055336097606232024,19.735609346641045,19.00771168363714,18.445979,78.238627,Kamareddy,926,0,0
2920023,0.5051472905360159,0.4955310392211578,19.895866389530216,14.15997620437176,18.397209,78.241069,Kamareddy,926,3,0
2920024,0.9389211138758499,0.06231205892766425,20.210711799462736,4.501778521008861,18.442724,78.220332,Kamareddy,926,0,0
2920025,0.5730792130908985,0.4308324884196577,21.038168505605363,13.978695965171411,18.449378,78.197872,Kamareddy,926,3,0
2920026,0.9780164193158689,0.024345886790803774,23.01776736840792,14.527025943345071,18.463661,78.201089,Kamareddy,926,4,0
2920027,0.9704105298701801,0.030085769231728652,26.794256987518008,12.952166640746045,18.467117,78.167796,Kamareddy,926,4,0
2920028,0.6132168587747593,0.3888981592244172,21.75100735343444,16.24428660454624,18.44769,78.196413,Kamareddy,926,3,0
2920029,0.3573728358219917,0.6439828644858608,21.417688817690554,38.65111728003569,18.41106,78.271985,Kamareddy,926,2,0
2921002,0.9522792620295641,0.04942993324759632,21.42046419160371,7.413208821059242,18.238514,78.245807,Kamareddy,926,4,0
2921003,0.7143682368750391,0.2864039697808878,19.350655057904202,16.155265730944773,18.353647,78.278293,Kamareddy,926,3,0
2921004,0.9002499625682391,0.10339589890956337,19.634186335448828,9.146993368573584,18.352046,78.279298,Kamareddy,926,0,0
2921005,0.5954158586632031,0.4094267454912454,21.58821138681126,19.80688788986735,18.258937,78.251167,Kamareddy,926,3,0
2921006,0.8311168880759816,0.17091058901754203,20.762530365295817,28.490513501969588,18.311666,78.252291,Kamareddy,926,0,0
2921007,0.6989796890458997,0.30249927430867857,19.884902141858145,15.430441411945663,18.363347,78.259126,Kamareddy,926,3,0
2921008,0.9657449534061955,0.04165661264839681,21.797011930648925,7.644341736940668,18.362764,78.183331,Kamareddy,926,4,0
2921009,0.5254979965309615,0.4749719189814197,20.70619997219196,26.401737142429294,18.310625,78.287934,Kamareddy,926,3,0
2921010,0.5521413742453367,0.44968034284990127,20.056335638007294,22.710373923470353,18.311728,78.288403,Kamareddy,926,3,0
2921011,0.626981756532482,0.3747664096863153,21.716837667766033,19.042278602736502,18.323732,78.213217,Kamareddy,926,3,0
2921012,0.6277011821912465,0.3737205028168642,20.585807691281545,25.466050035949785,18.324042,78.213204,Kamareddy,926,3,0
2921013,0.9591419176541058,0.04144911578369604,20.261826839338134,5.761473880942976,18.268694,78.289759,Kamareddy,926,0,0
2921014,0.5043147217027623,0.49588897720097314,21.10757381764811,16.650640899512908,18.292118,78.220141,Kamareddy,926,3,0
2921015,0.4499375509938483,0.5501064821543057,21.488727004594715,11.837986781310546,18.291996,78.220156,Kamareddy,926,3,0
2921016,0.7033145760711516,0.30107030534872026,21.314488588869374,20.517624287522704,18.313247,78.251605,Kamareddy,926,3,0
2921017,0.4983057312042782,0.502401555499596,20.81773966338994,38.64614638669517,18.311713,78.252325,Kamareddy,926,3,0
2921018,0.6153261707576896,0.3888656350099195,19.49925513931563,21.01512474339126,18.31297,78.25442,Kamareddy,926,3,0
2921019,0.6615108337636617,0.33989123681289335,21.460193522235123,29.09581589271995,18.338484,78.215658,Kamareddy,926,3,0
2921020,0.6436462874862461,0.3589199762219777,21.09207520464341,13.143392578512843,18.337506,78.216804,Kamareddy,926,3,0
2921021,0.9288273196930843,0.07260051860882001,20.464220522361305,5.996920391933845,18.316,78.265671,Kamareddy,926,0,0
2921022,0.9455304644139865,0.06881662940180902,22.431999245789893,5.861916833725744,18.302479,78.278011,Kamareddy,926,4,0
2921023,0.5646900421082214,0.43560837631537175,20.365633376434076,21.176713672580153,18.277712,78.213747,Kamareddy,926,3,0
2921024,0.4600757206986838,0.5402966540800129,19.986901230709474,33.55456551641033,18.27698,78.21372,Kamareddy,926,3,0
2921025,0.8993659964489906,0.10287751172275833,21.6791740449349,18.054242299931346,18.353802,78.246355,Kamareddy,926,4,0
2921026,0.9328105987645752,0.06760468440394499,21.306993118994857,11.409636407689112,18.34223,78.24809,Kamareddy,926,4,0
2921027,0.5778855677071827,0.42239148810102606,20.419686936780717,22.994912695033587,18.259256,78.250455,Kamareddy,926,3,0
2922002,0.2634139416596131,0.7372941078592771,22.25678587699045,8.63960977954775,18.193544,78.013772,Kamareddy,926,2,0
2922003,0.47660279641760844,0.5240474456440801,23.084753063727696,37.3916826451349,18.196414,78.012706,Kamareddy,926,2,0
2922004,0.42076136174315554,0.5796141810624067,22.19454358633063,5.800246300189076,18.196377,78.013274,Kamareddy,926,3,0
2922005,0.3357413532599774,0.6650334033309229,23.37483782946004,36.48672071010684,18.196249,78.011883,Kamareddy,926,2,0
2922006,0.4797181216953512,0.5215033194407025,23.23342692259527,16.31630089440762,18.19642,78.013045,Kamareddy,926,3,0
2922007,0.36181530153005165,0.6383909954669552,22.59430525698627,70.26803013542717,18.195251,78.012017,Kamareddy,926,2,0
2922008,0.39745417663268806,0.6033510742160066,22.83577421076443,4.552106641638283,18.195132,78.012097,Kamareddy,926,2,0
2922009,0.2991048825826449,0.7010274460224176,23.431321834906484,57.85860546712981,18.195259,78.011987,Kamareddy,926,2,0
2922010,0.6975751266943122,0.3029366899503441,22.41851747061274,8.300691406895712,18.192397,78.012859,Kamareddy,926,4,0
2922011,0.8461653155669139,0.16169291794205376,22.81805110305451,10.574506940956397,18.197466,77.988313,Kamareddy,926,4,0
2922012,0.738176097188088,0.26283704096135674,21.724733434866003,18.317802049404897,18.204947,78.011438,Kamareddy,926,4,0
2922013,0.8698500579811616,0.13124771743192132,21.942139872193266,13.492106796672179,18.238424,77.996104,Kamareddy,926,4,0
2922014,0.9479831913684426,0.05561309983678064,21.997969232074766,13.900331356577809,18.223179,78.004048,Kamareddy,926,4,0
2922015,0.945522898644333,0.05990663327404746,22.032463269481955,14.16067196646656,18.199325,78.034768,Kamareddy,926,4,0
